tipo,nombreOriginal,clasificacion,numCandidatos,md5sDistintos,rowIds,ruc,monto,numeroSerie,numero,fechaEmision,candidatoSizes,candidatoCreatedTimes
factura,FE-0005296-SERVICIOS GENERALES SATURNO S.A.C. - SERGESAT S.A.C..pdf,IDENTICAL_CONTENT,2,1,68|4596,,,,,,62805|62805,2024-12-23T20:40:47.773Z|2024-12-23T20:38:00.562Z
xml,20602553371-01-FS01-00005296.xml,IDENTICAL_CONTENT,2,1,68|4596,,,,,,16891|16891,2024-12-23T20:40:49.822Z|2024-12-23T20:38:02.482Z
pedido,OC-2024-12660 (1).pdf,IDENTICAL_CONTENT,2,1,68|4596,,,,,,442980|442980,2024-12-23T20:40:54.199Z|2024-12-23T20:38:07.175Z
guia,GUIA 1771.pdf,IDENTICAL_CONTENT,2,1,142,,,,,,162312|162312,2024-03-26T15:46:52.931Z|2024-03-26T15:46:06.153Z
factura,Document_260324_150449-10-12-1.pdf,IDENTICAL_CONTENT,2,1,166|18789,,,,,,101513|101513,2026-03-24T21:09:10.732Z|2026-03-24T21:06:46.559Z
xml,20520588486-01-F019-0095476.xml,IDENTICAL_CONTENT,2,1,166|18789,,,,,,13770|13770,2026-03-24T21:09:14.022Z|2026-03-24T21:06:50.006Z
guia,Document_260324_150449-10-12-2.pdf,IDENTICAL_CONTENT,2,1,166|18789,,,,,,62920|62920,2026-03-24T21:09:17.322Z|2026-03-24T21:06:53.939Z
pedido,Document_260324_150449-10-12-3.pdf,IDENTICAL_CONTENT,2,1,166|18789,,,,,,38641|38641,2026-03-24T21:09:20.814Z|2026-03-24T21:06:57.258Z
pedido,orden de ser2v.pdf,IDENTICAL_CONTENT,2,1,181|182,,,,,,309169|309169,2024-03-31T15:05:00.377Z|2024-03-31T15:00:18.908Z
factura,FACTURA E001-496 PDF.pdf,IDENTICAL_CONTENT,2,1,208,,,,,,5542|5542,2024-04-04T16:05:11.659Z|2024-04-04T16:01:59.380Z
xml,FACTURAE001-49620392879278.XML,IDENTICAL_CONTENT,2,1,208,,,,,,33060|33060,2024-04-04T16:05:14.053Z|2024-04-04T16:02:01.781Z
guia,GUIA SELLADA 005.pdf,IDENTICAL_CONTENT,2,1,208,,,,,,227756|227756,2024-04-04T16:05:16.313Z|2024-04-04T16:02:04.183Z
pedido,OC 2024-02702.pdf,IDENTICAL_CONTENT,2,1,208,,,,,,69217|69217,2024-04-04T16:05:18.408Z|2024-04-04T16:02:06.656Z
guia,GUIA SELLADA 007.pdf,IDENTICAL_CONTENT,2,1,210|211,,,,,,322993|322993,2024-04-04T16:12:33.919Z|2024-04-04T16:09:45.410Z
pedido,OC-202403047.pdf,IDENTICAL_CONTENT,2,1,210|211,,,,,,73627|73627,2024-04-04T16:12:35.914Z|2024-04-04T16:09:47.594Z
pedido,ORDE8.pdf,IDENTICAL_CONTENT,2,1,311|312,,,,,,181503|181503,2024-04-16T18:40:18.921Z|2024-04-16T18:38:29.693Z
guia,GR-355802 FT- 357867.pdf,IDENTICAL_CONTENT,2,1,323,,,,,,619178|619178,2024-04-18T22:09:13.942Z|2024-04-18T22:09:04.604Z
pedido,202402881 (2).pdf,IDENTICAL_CONTENT,3,1,324|325,,,,,,188013|188013|188013,2024-04-24T18:30:45.481Z|2024-04-24T18:19:10.879Z|2024-04-24T18:17:14.255Z
pedido,2024-02700.pdf,IDENTICAL_CONTENT,2,1,414|415,,,,,,72113|72113,2024-04-29T21:23:50.182Z|2024-04-29T21:21:07.847Z
pedido,ordenn3.pdf,IDENTICAL_CONTENT,2,1,433|434,,,,,,74809|74809,2024-05-02T14:03:31.331Z|2024-05-02T14:00:36.314Z
guia,GUIA 029 -FAC522-523 PDF. SELLADA.pdf,IDENTICAL_CONTENT,2,1,492|493,,,,,,284368|284368,2024-05-09T15:26:17.228Z|2024-05-09T15:23:51.299Z
pedido,202404267.pdf,IDENTICAL_CONTENT,2,1,492|493,,,,,,73170|73170,2024-05-09T15:26:35.902Z|2024-05-09T15:23:53.877Z
pedido,ORDENSER4.pdf,IDENTICAL_CONTENT,2,1,591|592,,,,,,91940|91940,2024-05-16T15:48:36.004Z|2024-05-16T15:46:47.232Z
pedido,202404272.pdf,IDENTICAL_CONTENT,2,1,603|604,,,,,,72145|72145,2024-05-24T16:28:01.095Z|2024-05-24T16:27:30.243Z
pedido,2024-04247.pdf,IDENTICAL_CONTENT,2,1,614|615,,,,,,68484|68484,2024-05-17T17:01:56.554Z|2024-05-17T16:58:29.154Z
factura,F250-0070506.pdf,IDENTICAL_CONTENT,2,1,620,,,,,,167080|167080,2024-05-20T17:02:29.525Z|2024-05-20T16:58:28.276Z
xml,F250-00070506.xml,IDENTICAL_CONTENT,2,1,620,,,,,,74285|74285,2024-05-20T17:02:31.860Z|2024-05-20T16:58:30.675Z
pedido,202404843.pdf,IDENTICAL_CONTENT,2,1,620,,,,,,187696|187696,2024-05-20T17:02:34.100Z|2024-05-20T16:58:32.963Z
pedido,202404166 (1).pdf,IDENTICAL_CONTENT,2,1,650|651,,,,,,187843|187843,2024-05-22T05:37:18.185Z|2024-05-22T05:34:10.726Z
pedido,OC 202404614.pdf,IDENTICAL_CONTENT,2,1,674|675,,,,,,825429|825429,2024-05-24T16:23:50.150Z|2024-05-24T16:20:22.668Z
pedido,202404796.pdf,IDENTICAL_CONTENT,4,1,676|677|678|679,,,,,,68514|68514|68514|68514,2024-05-23T22:04:12.583Z|2024-05-23T22:02:24.092Z|2024-05-23T22:01:21.227Z|2024-05-23T21:56:35.269Z
pedido,OC 202405121.pdf,IDENTICAL_CONTENT,3,1,686|688|689,,,,,,751241|751241|751241,2024-06-14T21:38:27.281Z|2024-06-14T21:36:57.875Z|2024-06-14T21:33:53.043Z
pedido,202405100 (2).pdf,IDENTICAL_CONTENT,2,1,701|702,,,,,,191448|191448,2024-05-25T03:12:58.894Z|2024-05-25T03:10:10.287Z
pedido,OC 202405208.pdf,IDENTICAL_CONTENT,2,1,736|737,,,,,,892372|892372,2024-06-15T18:24:19.872Z|2024-06-15T18:23:42.545Z
pedido,OC 202405231.pdf,IDENTICAL_CONTENT,2,1,738|739,,,,,,480900|480900,2024-06-14T21:54:10.684Z|2024-06-14T21:52:57.224Z
pedido,OC 202405338.pdf,IDENTICAL_CONTENT,2,1,741|742,,,,,,912954|912954,2024-06-15T18:28:49.002Z|2024-06-15T18:27:50.526Z
pedido,202405405.pdf,IDENTICAL_CONTENT,2,1,767|770,,,,,,71720|71720,2024-06-17T22:37:54.417Z|2024-06-17T22:33:11.641Z
factura,20101363008-01-F572-00007696.pdf,IDENTICAL_CONTENT,2,1,935,,,,,,100520|100520,2024-06-06T21:32:58.857Z|2024-06-06T21:32:10.491Z
xml,20101363008-01-F572-00007696.xml,IDENTICAL_CONTENT,2,1,935,,,,,,58441|58441,2024-06-06T21:33:00.831Z|2024-06-06T21:32:12.964Z
guia,GUIAS DE COTIZACIONES-6-7.pdf,IDENTICAL_CONTENT,2,1,935,,,,,,378151|378151,2024-06-06T21:33:02.973Z|2024-06-06T21:32:15.239Z
pedido,2024-05360.pdf,IDENTICAL_CONTENT,2,1,935,,,,,,72284|72284,2024-06-06T21:33:04.983Z|2024-06-06T21:32:17.386Z
guia,GUIA SELLADA 040-FAC535-536.pdf,IDENTICAL_CONTENT,2,1,969|970,,,,,,298682|298682,2024-06-10T23:02:22.513Z|2024-06-10T22:58:53.736Z
pedido,202405340.pdf,IDENTICAL_CONTENT,2,1,969|970,,,,,,74776|74776,2024-06-10T23:02:24.508Z|2024-06-10T22:58:55.835Z
pedido,202405626.pdf,DIFFERENT_CONTENT,3,2,1049|1050,20510673710,984.80,F001,24433,05/06/2024,1007047|1007047|194376,2024-06-25T19:38:53.643Z|2024-06-25T19:38:42.144Z|2024-06-17T22:31:52.841Z
pedido,202405626.pdf,DIFFERENT_CONTENT,3,2,1049|1050,20510673710,467.40,F035,48566,05/06/2024,1007047|1007047|194376,2024-06-25T19:38:53.643Z|2024-06-25T19:38:42.144Z|2024-06-17T22:31:52.841Z
pedido,OC_202405234.pdf,IDENTICAL_CONTENT,2,1,1096|1097,,,,,,377804|377804,2024-06-21T15:31:06.108Z|2024-06-21T15:26:29.763Z
pedido,REF_FT_412_Saturno_Acarreo.pdf,IDENTICAL_CONTENT,2,1,1306,,,,,,1210429|1210429,2024-06-25T04:39:07.227Z|2024-06-25T04:38:57.376Z
factura,E- 001-1478 SATURNO.pdf,IDENTICAL_CONTENT,2,1,1337,,,,,,26098|26098,2024-07-01T21:51:38.786Z|2024-07-01T21:48:10.458Z
factura,20101363008-01-F572-00008000.pdf,IDENTICAL_CONTENT,2,1,1489|1491,,,,,,94446|94446,2024-06-27T19:53:58.817Z|2024-06-27T19:53:01.391Z
xml,20101363008-01-F572-00008000.xml,IDENTICAL_CONTENT,2,1,1489|1491,,,,,,18834|18834,2024-06-27T19:54:00.663Z|2024-06-27T19:53:03.386Z
guia,GUIAS DE COTIZACIONES 2-5.pdf,IDENTICAL_CONTENT,2,1,1489|1491,,,,,,376095|376095,2024-06-27T19:54:02.907Z|2024-06-27T19:53:05.528Z
pedido,2024-05990.pdf,IDENTICAL_CONTENT,2,1,1489|1491,,,,,,45627|45627,2024-06-27T19:54:04.956Z|2024-06-27T19:53:07.603Z
pedido,ordenser2.pdf,IDENTICAL_CONTENT,2,1,1569|1570,,,,,,119687|119687,2024-07-02T12:54:49.243Z|2024-07-02T12:53:23.853Z
